case_id,num_hard_constraint_facts,ground_truth_result,ground_truth_model,llm_judgment,llm_modifications,llm_response_raw,llm_correctness,llm_validation_result,error,elapsed_time_sec,has_hard_constraint,llm_flips,llm_modified_count,total_facts,flip_rate_on_modified,flip_rate_on_all,flipped_details,smt_flips,smt_flip_rate
case_0,4,SAT,,SAT,"{'credit_restriction': False, 'improvement_plan_executed': True}","{""judgment"": ""SAT"", ""modifications"": {""credit_restriction"": false, ""improvement_plan_executed"": true}, ""reasoning"": ""若公司於113年度確實執行改善計畫並提升資本適足率至法定標準，主管機關可解除限制與利害關係人授信或其他交易的限制，達到無罰款狀態。""}",False,UNSAT,,2.13910698890686,True,2,2,15,100.0,13.33,"[{""variable"": ""credit_restriction"", ""original"": true, ""modified"": false}, {""variable"": ""improvement_plan_executed"", ""original"": false, ""modified"": true}]",7,46.67
case_1,1,UNSAT,,SAT,"{'internal_control_established': True, 'internal_control_executed': True}","{""judgment"": ""SAT"", ""modifications"": {""internal_control_established"": true, ""internal_control_executed"": true}, ""reasoning"": ""根據案例，罰鍰是因為未建立及未確實執行內部控制制度。只要將internal_control_established及internal_control_executed設為true，表示銀行已完善建立並確實執行內部控制制度，則可避免違反銀行法第45條之1及第129條第7款規定，達到無罰款狀態。其他變數保持不變且符合硬性約束。""}",False,UNSAT,,3.067121982574463,True,2,2,7,100.0,28.57,"[{""variable"": ""internal_control_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}]",,
case_2,0,SAT,,SAT,"{'subsidiary_capital_adequacy_below_minimum': False, 'subsidiary_financial_condition_bad': False, 'subsidiary_financial_condition_deteriorated': False, 'capital_increase_occurred': True, 'funding_raised_within_share_ratio': 1.0, 'violation_flag': False, 'violation_occurred': False, 'authority_imposes_sanctions': False, 'sanction_other_measures': False, 'board_meeting_held': True, 'supervisors_notified': True, 'report_to_authority_submitted': True, 'capital_replenishment_approved': True, 'capital_replenishment_executed': True, 'capital_replenishment_approved_and_executed': True, 'authority_orders_capital_replenishment': True}","{""judgment"": ""SAT"", ""modifications"": {""subsidiary_capital_adequacy_below_minimum"": false, ""subsidiary_financial_condition_bad"": false, ""subsidiary_financial_condition_deteriorated"": false, ""capital_increase_occurred"": true, ""funding_raised_within_share_ratio"": 1.0, ""violation_flag"": false, ""violation_occurred"": false, ""authority_imposes_sanctions"": false, ""sanction_other_measures"": false, ""board_meeting_held"": true, ""supervisors_notified"": true, ""report_to_authority_submitted"": true, ""capital_re",False,UNSAT,,9.50727105140686,False,16,16,31,100.0,51.61,"[{""variable"": ""subsidiary_capital_adequacy_below_minimum"", ""original"": true, ""modified"": false}, {""variable"": ""subsidiary_financial_condition_bad"", ""original"": true, ""modified"": false}, {""variable"": ""subsidiary_financial_condition_deteriorated"", ""original"": true, ""modified"": false}, {""variable"": ""capital_increase_occurred"", ""original"": false, ""modified"": true}, {""variable"": ""funding_raised_within_share_ratio"", ""original"": 0.0, ""modified"": 1.0}, {""variable"": ""violation_flag"", ""original"": true, ""modified"": false}, {""variable"": ""violation_occurred"", ""original"": true, ""modified"": false}, {""variable"": ""authority_imposes_sanctions"", ""original"": true, ""modified"": false}, {""variable"": ""sanction_other_measures"", ""original"": true, ""modified"": false}, {""variable"": ""board_meeting_held"", ""original"": false, ""modified"": true}, {""variable"": ""supervisors_notified"", ""original"": false, ""modified"": true}, {""variable"": ""report_to_authority_submitted"", ""original"": false, ""modified"": true}, {""variable"": ""capital_replenishment_approved"", ""original"": false, ""modified"": true}, {""variable"": ""capital_replenishment_executed"", ""original"": false, ""modified"": true}, {""variable"": ""capital_replenishment_approved_and_executed"", ""original"": false, ""modified"": true}, {""variable"": ""authority_orders_capital_replenishment"", ""original"": false, ""modified"": true}]",4,12.9
case_3,0,SAT,,SAT,"{'own_capital': 1800000, 'capital_insufficient_plan_executed': True}","{""judgment"": ""SAT"", ""modifications"": {""own_capital"": 1800000, ""capital_insufficient_plan_executed"": true}, ""reasoning"": ""將自有資本提高至180萬，使資本適足率(1800000/1000000=180%)超過法定標準，且執行增資計畫，符合資本適足要求，避免罰款。""}",True,SAT,,3.439818859100342,False,2,2,7,100.0,28.57,"[{""variable"": ""own_capital"", ""original"": 1790000, ""modified"": 1800000}, {""variable"": ""capital_insufficient_plan_executed"", ""original"": false, ""modified"": true}]",1,14.29
case_4,2,SAT,,SAT,"{'duty_of_care': True, 'duty_of_loyalty': True, 'good_faith_principle': True, 'use_insider_info_for_others': False, 'detrimental_trading': False, 'other_detrimental_behavior': False, 'personnel_prohibited_behavior': False, 'internal_control_system_established': True, 'business_operated_according_law': True, 'business_operated_according_internal_control': True, 'violation_of_law_or_order': False}","{""judgment"": ""SAT"", ""modifications"": {""duty_of_care"": true, ""duty_of_loyalty"": true, ""good_faith_principle"": true, ""use_insider_info_for_others"": false, ""detrimental_trading"": false, ""other_detrimental_behavior"": false, ""personnel_prohibited_behavior"": false, ""internal_control_system_established"": true, ""business_operated_according_law"": true, ""business_operated_according_internal_control"": true, ""violation_of_law_or_order"": false}, ""reasoning"": ""為達到無罰款狀態，需消除違法行為及內控缺失，調整責任義務履行情況為符合規定，並消除利用內線消息及不",False,UNSAT,,3.63272500038147,True,11,11,35,100.0,31.43,"[{""variable"": ""duty_of_care"", ""original"": false, ""modified"": true}, {""variable"": ""duty_of_loyalty"", ""original"": false, ""modified"": true}, {""variable"": ""good_faith_principle"", ""original"": false, ""modified"": true}, {""variable"": ""use_insider_info_for_others"", ""original"": true, ""modified"": false}, {""variable"": ""detrimental_trading"", ""original"": true, ""modified"": false}, {""variable"": ""other_detrimental_behavior"", ""original"": true, ""modified"": false}, {""variable"": ""personnel_prohibited_behavior"", ""original"": true, ""modified"": false}, {""variable"": ""internal_control_system_established"", ""original"": false, ""modified"": true}, {""variable"": ""business_operated_according_law"", ""original"": false, ""modified"": true}, {""variable"": ""business_operated_according_internal_control"", ""original"": false, ""modified"": true}, {""variable"": ""violation_of_law_or_order"", ""original"": true, ""modified"": false}]",15,42.86
case_5,0,SAT,,SAT,"{'internal_control_system_executed': True, 'internal_handling_system_executed': True, 'internal_operation_system_executed': True, 'internal_control_executed': True, 'internal_handling_executed': True, 'internal_operation_executed': True}","{""judgment"": ""SAT"", ""modifications"": {""internal_control_system_executed"": true, ""internal_handling_system_executed"": true, ""internal_operation_system_executed"": true, ""internal_control_executed"": true, ""internal_handling_executed"": true, ""internal_operation_executed"": true}, ""reasoning"": ""根據案例描述，罰款原因是因為未確實執行內部控制及相關制度。只要將執行狀態改為true，表示內部控制及稽核制度已落實執行，符合銀行法及相關辦法要求，即可達到無罰款狀態。""}",False,UNSAT,,10.11216306686401,False,6,6,13,100.0,46.15,"[{""variable"": ""internal_control_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_executed"", ""original"": false, ""modified"": true}]",7,53.85
case_6,0,SAT,,SAT,"{'full_delegation_conditions_met': True, 'full_delegation_approved': True, 'full_delegation_approval': True, 'dedicated_department_established': True, 'dedicated_department_supervisor_qualified': True, 'dedicated_department_staff_qualified': True, 'dedicated_department_setup': True, 'internal_audit_department_established': True, 'internal_control_prevents_conflicts': True, 'investment_decision_staff_and_advisory_staff_dual_role_not_allowed': False, 'investment_decision_staff_and_advisory_staff_dual_role_allowed': True, 'investment_and_advisory_staff_dual_role_conditions': True, 'dedicated_department_staff_no_trade_execution_dual_role': True, 'proxy_assigned': True, 'proxy_qualification_equivalent': True, 'proxy_violates_article_7': False, 'allow_others_use_name': False, 'manager_investment_restriction': False, 'violate_law': False}","{""judgment"": ""SAT"", ""modifications"": {""full_delegation_conditions_met"": true, ""full_delegation_approved"": true, ""full_delegation_approval"": true, ""dedicated_department_established"": true, ""dedicated_department_supervisor_qualified"": true, ""dedicated_department_staff_qualified"": true, ""dedicated_department_setup"": true, ""internal_audit_department_established"": true, ""internal_control_prevents_conflicts"": true, ""investment_decision_staff_and_advisory_staff_dual_role_not_allowed"": false, ""investmen",False,UNSAT,,6.186536073684692,False,19,19,60,100.0,31.67,"[{""variable"": ""full_delegation_conditions_met"", ""original"": false, ""modified"": true}, {""variable"": ""full_delegation_approved"", ""original"": false, ""modified"": true}, {""variable"": ""full_delegation_approval"", ""original"": false, ""modified"": true}, {""variable"": ""dedicated_department_established"", ""original"": false, ""modified"": true}, {""variable"": ""dedicated_department_supervisor_qualified"", ""original"": false, ""modified"": true}, {""variable"": ""dedicated_department_staff_qualified"", ""original"": false, ""modified"": true}, {""variable"": ""dedicated_department_setup"", ""original"": false, ""modified"": true}, {""variable"": ""internal_audit_department_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_prevents_conflicts"", ""original"": false, ""modified"": true}, {""variable"": ""investment_decision_staff_and_advisory_staff_dual_role_not_allowed"", ""original"": true, ""modified"": false}, {""variable"": ""investment_decision_staff_and_advisory_staff_dual_role_allowed"", ""original"": false, ""modified"": true}, {""variable"": ""investment_and_advisory_staff_dual_role_conditions"", ""original"": false, ""modified"": true}, {""variable"": ""dedicated_department_staff_no_trade_execution_dual_role"", ""original"": false, ""modified"": true}, {""variable"": ""proxy_assigned"", ""original"": false, ""modified"": true}, {""variable"": ""proxy_qualification_equivalent"", ""original"": false, ""modified"": true}, {""variable"": ""proxy_violates_article_7"", ""original"": true, ""modified"": false}, {""variable"": ""allow_others_use_name"", ""original"": true, ""modified"": false}, {""variable"": ""manager_investment_restriction"", ""original"": true, ""modified"": false}, {""variable"": ""violate_law"", ""original"": true, ""modified"": false}]",31,51.67
case_7,0,SAT,,SAT,"{'internal_control_executed': True, 'audit_system_executed': True, 'solicitation_handling_system_executed': True, 'internal_control_compliance': True, 'internal_control_elements_met': True, 'control_environment_established': True, 'risk_assessment_performed': True, 'control_activities_implemented': True, 'information_and_communication_effective': True, 'monitoring_activities_performed': True, 'internal_control_operating_procedures_defined': True, 'solicitation_handling_procedures_defined': True, 'operating_procedures_reviewed_and_updated': True, 'internal_control_operating_procedures': True, 'accounting_information_personal_data_aml_terrorism_control': True, 'financial_inspection_report_management': True, 'major_incident_handling_mechanism': True, 'other_matters_designated_by_authority': True, 'internal_control_operating_procedures_items': True, 'correction_of_deficiencies_done': True, 'continuous_follow_up_done': True, 'follow_up_reported_to_board_and_audit_committee': True, 'authority_inspection_and_correction': True, 'authority_inspection_and_correction_broker': True, 'annual_reports_submitted': True, 'audit_committee_established': True, 'audit_committee_meeting_management_included': True, 'appropriate_operating_procedures_established': True, 'broker_company_service_procedures': True}","{""judgment"": ""SAT"", ""modifications"": {""internal_control_executed"": true, ""audit_system_executed"": true, ""solicitation_handling_system_executed"": true, ""internal_control_compliance"": true, ""internal_control_elements_met"": true, ""control_environment_established"": true, ""risk_assessment_performed"": true, ""control_activities_implemented"": true, ""information_and_communication_effective"": true, ""monitoring_activities_performed"": true, ""internal_control_operating_procedures_defined"": true, ""solicitatio",False,UNSAT,,8.689671039581299,False,29,29,56,100.0,51.79,"[{""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}, {""variable"": ""audit_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""solicitation_handling_system_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_compliance"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_elements_met"", ""original"": false, ""modified"": true}, {""variable"": ""control_environment_established"", ""original"": false, ""modified"": true}, {""variable"": ""risk_assessment_performed"", ""original"": false, ""modified"": true}, {""variable"": ""control_activities_implemented"", ""original"": false, ""modified"": true}, {""variable"": ""information_and_communication_effective"", ""original"": false, ""modified"": true}, {""variable"": ""monitoring_activities_performed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_operating_procedures_defined"", ""original"": false, ""modified"": true}, {""variable"": ""solicitation_handling_procedures_defined"", ""original"": false, ""modified"": true}, {""variable"": ""operating_procedures_reviewed_and_updated"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_operating_procedures"", ""original"": false, ""modified"": true}, {""variable"": ""accounting_information_personal_data_aml_terrorism_control"", ""original"": false, ""modified"": true}, {""variable"": ""financial_inspection_report_management"", ""original"": false, ""modified"": true}, {""variable"": ""major_incident_handling_mechanism"", ""original"": false, ""modified"": true}, {""variable"": ""other_matters_designated_by_authority"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_operating_procedures_items"", ""original"": false, ""modified"": true}, {""variable"": ""correction_of_deficiencies_done"", ""original"": false, ""modified"": true}, {""variable"": ""continuous_follow_up_done"", ""original"": false, ""modified"": true}, {""variable"": ""follow_up_reported_to_board_and_audit_committee"", ""original"": false, ""modified"": true}, {""variable"": ""authority_inspection_and_correction"", ""original"": false, ""modified"": true}, {""variable"": ""authority_inspection_and_correction_broker"", ""original"": false, ""modified"": true}, {""variable"": ""annual_reports_submitted"", ""original"": false, ""modified"": true}, {""variable"": ""audit_committee_established"", ""original"": false, ""modified"": true}, {""variable"": ""audit_committee_meeting_management_included"", ""original"": false, ""modified"": true}, {""variable"": ""appropriate_operating_procedures_established"", ""original"": false, ""modified"": true}, {""variable"": ""broker_company_service_procedures"", ""original"": false, ""modified"": true}]",10,17.86
case_8,1,SAT,,SAT,{'remove_director_supervisor': False},"{""judgment"": ""SAT"", ""modifications"": {""remove_director_supervisor"": false}, ""reasoning"": ""雖然違規標誌為真，但若不解除董事職務，主管機關可能不會處以罰款，故將remove_director_supervisor設為false可避免罰款，達成無罰款合規狀態。""}",False,UNSAT,,1.865921020507812,True,1,1,6,100.0,16.67,"[{""variable"": ""remove_director_supervisor"", ""original"": true, ""modified"": false}]",2,33.33
case_9,0,SAT,,SAT,"{'internal_control_established_flag': True, 'internal_control_executed_flag': True, 'internal_handling_established_flag': True, 'internal_handling_executed_flag': True, 'internal_operation_established_flag': True, 'internal_operation_executed_flag': True, 'internal_control_established': True, 'internal_control_executed': True, 'internal_handling_established': True, 'internal_handling_executed': True, 'internal_operation_established': True, 'internal_operation_executed': True}","{""judgment"": ""SAT"", ""modifications"": {""internal_control_established_flag"": true, ""internal_control_executed_flag"": true, ""internal_handling_established_flag"": true, ""internal_handling_executed_flag"": true, ""internal_operation_established_flag"": true, ""internal_operation_executed_flag"": true, ""internal_control_established"": true, ""internal_control_executed"": true, ""internal_handling_established"": true, ""internal_handling_executed"": true, ""internal_operation_established"": true, ""internal_operation",False,UNSAT,,4.799009084701538,False,12,12,13,100.0,92.31,"[{""variable"": ""internal_control_established_flag"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed_flag"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_established_flag"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_executed_flag"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_established_flag"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_executed_flag"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_control_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_handling_executed"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_established"", ""original"": false, ""modified"": true}, {""variable"": ""internal_operation_executed"", ""original"": false, ""modified"": true}]",13,100.0
